user_id,place_id,rating
1,6035,5
1,3016,4.5
1,6051,4
2,1013,4.5
2,3021,4.4
2,3024,4
3,3009,4.4
3,7014,4.5
3,7020,4.5
3,6029,5
3,6025,5
4,2031,4.3
4,2033,4.4
4,2011,5
4,7046,4.8
6,8018,5
6,3028,4.5
6,7002,4.6
6,7004,4.7
7,8013,4.4
7,9008,4.9
7,6046,4.5
8,7040,4.7
8,9019,4.5
8,8020,4.5
9,2014,4.5
9,6018,4.8
9,6030,4.7
10,8034,4.6
10,1034,4.4
10,3004,4.7
11,6027,4.9
11,3001,4.9
11,1020,4.6
11,6015,4.8
12,3017,4.8
12,3003,4.9
12,3029,4.4
13,6009,4.5
13,9033,4.7
14,2007,4.7
14,6055,4.6
15,8026,4.8
15,6047,4.6
15,1003,4.7
16,7047,4.4
16,8031,4.9
16,3008,4.4
17,6034,4.5
17,2034,4.9
18,8005,4.7
18,8033,4.7
18,6002,4.6
19,1024,4.9
19,6006,4.6
20,1027,4.6
20,7045,4.6
20,7030,4.5
21,1033,4.9
21,3011,4.6
21,8007,4.6
22,9022,4.8
22,2030,4.7
22,9034,4.6
23,7029,4.7
23,7022,5
23,7035,4.7
24,9011,4.5
24,7042,4.7
24,6039,4.8
25,6049,4.5
25,1037,4.8
25,6032,4.5
26,6028,4.5
26,8008,4.7
26,1025,4.6
27,8036,4.8
27,7019,4.9
28,7012,4.4
28,9003,4.7
28,1006,4.7
28,3013,5
29,6059,4.6
30,7009,4.7
30,7049,4.7
30,6042,4.7
30,7025,4.6
30,1023,4.6
31,6041,4.5
31,6040,4.8
31,1019,4.8
32,7050,4.8
32,6058,4.9
32,7044,4.8
32,9001,4.8
33,2029,4.6
33,8006,4.6
33,2008,4.4
33,8003,5
34,1004,4.6
34,6048,4.9
34,6012,4.8
34,7015,4.6
35,6020,4.7
35,3006,4.4
35,7016,5
35,8012,4.9
36,2028,4.6
36,2001,4.4
36,7018,4.6
36,1029,4.7
36,1036,4.8
37,1002,4.6
37,3005,4
37,7048,5
38,6061,4.6
38,6004,4.9
38,2006,5
40,2002,4.6
40,9002,5
40,6021,4.5
40,3018,4.7
41,6024,4.8
41,2019,4.7
41,1007,4.8
41,8030,4.5
42,6013,4.6
42,1011,4.4
42,7033,4.8
42,1010,4.7
43,9012,4.6
43,2017,4.7
43,7027,4
44,6050,4.7
44,2020,4.6
44,6023,4.7
44,7034,4.6
45,9009,4.6
45,7028,4.9
45,8014,4.6
46,6044,4.7
46,6003,4.7
46,8027,4.7
46,7036,4.6
47,3007,4.6
47,7032,4.5
47,8015,4.6
47,6016,4.6
47,1032,4.5
47,1035,4.5
48,9033,4.4
48,6064,4.7
48,6028,4.6
49,8026,4.5
49,8033,4.3
49,6008,4.5
49,9005,4.6
49,9016,4.5
50,6063,4.6
50,6039,4.8
50,8019,4.7
50,8006,4.8
51,9029,4.7
51,6034,4.4
51,1004,4.7
51,2010,4.4
52,2032,4.5
52,9008,4.7
52,1026,4.7
52,7027,4.4
53,3019,4.7
53,7044,4.4
53,2004,4.8
54,1017,4.7
54,7028,4.6
54,1002,4.8
54,1029,5
55,7040,4.5
55,1021,5
55,7002,4.5
55,6021,5
56,6027,4
56,1024,4.8
56,8027,4.5
56,9011,4.5
57,3011,4.5
57,7016,4.6
57,6004,4.5
57,3024,4.7
58,9017,4.6
58,2016,5
58,1012,4.9
58,6002,4.5
58,2017,4.9
59,6009,4.9
59,3004,4.5
59,9030,4.6
59,2020,4.9
60,6062,4.5
60,6038,4.7
60,1037,4.9
60,6026,4.9
60,2014,4.9
61,3028,4.7
61,6060,4.8
61,3014,4.8
61,9025,4.7
62,9015,4.6
62,7048,4.9
62,1005,4.6
62,1034,4.8
63,8028,4.8
63,6014,4.8
63,3025,4
63,8024,4.6
64,9001,4.4
64,6030,4.7
64,9012,4.9
64,6001,4.9
64,6049,4.6
65,3030,4.7
65,8014,4.6
65,1003,4.7
65,8031,4.7
66,1028,4.5
66,9028,4.9
66,2008,4.8
66,7011,4.7
67,9034,4.6
67,6040,4.5
67,8011,4.6
67,6051,4.4
68,2003,4.4
68,2034,4.6
68,1036,4.6
68,7038,4.7
69,6022,4.7
69,1019,4.9
69,1018,4.6
69,2033,4.6
70,9006,5
70,6061,4.6
70,8025,4.5
71,2006,4.6
71,3016,4.6
71,7010,4.7
71,7037,4.7
72,7023,4.8
72,2029,4.4
72,8013,4.5
72,7001,4.8
73,3009,4.7
73,1016,4.6
73,2002,4.7
74,8035,4.4
74,8017,4.8
74,3008,4.8
75,9010,4.7
75,7033,5
75,2011,4.6
76,2026,4.6
76,1027,4.6
76,3006,4.8
77,3012,4.6
77,6006,4.6
77,7032,4.5
77,7014,4.7
78,7047,4.6
78,2012,4.6
78,3013,4.8
78,6020,5
78,8010,4.5
79,7020,4.6
79,3005,4.8
79,6029,4.6
79,9031,4.7
80,9014,5
80,2013,4.5
80,3017,4.8
80,3001,4.6
80,3003,5
81,1035,4.6
82,1014,4.7
82,2030,4
82,8005,4.7
83,1011,4.9
83,7031,5
84,1031,4.7
84,1010,4.4
84,9023,4
85,7046,4.6
85,9032,4.5
85,6033,4.4
86,7026,4.5
86,7009,5
86,6045,4.7
87,8034,4.9
87,6046,4.6
87,8009,4.4
88,6043,5
88,6007,4
88,2015,4.4
89,3015,4.6
89,8020,4.4
89,6015,4.7
90,6041,4.8
90,2018,4.7
90,1013,5
91,6019,4.4
91,7029,4.9
91,6003,4.7
92,1030,4.9
92,6031,5
92,3026,5
93,8030,4.6
93,1023,4.7
93,9019,4.9
94,7045,4.5
94,1007,4.6
94,7050,4.7
95,7006,4
95,6047,4.7
95,1006,4.4
96,7035,4.6
96,2021,4.7
96,9024,5
97,8003,4.6
97,9002,4.7
97,1001,4.8
98,7019,4.7
98,3022,5
98,2005,4.6
99,2025,4.5
99,7042,4.6
99,6054,4.5
100,7034,4.9
100,2022,4.6
100,8007,4.9
101,7013,4.7
101,8029,4.6
101,9020,4.9
102,3020,4.4
102,7043,4.8
102,2023,4.8
102,8002,5
